 -Infinity    -Infinity    -Infinity       -1.386    -Infinity    -Infinity    -Infinity   
 -Infinity    -Infinity       -5.991       -2.878       -5.586    -Infinity    -Infinity   
  -175.894     -169.804     -175.508     -172.613     -172.899     -175.845     -172.784   
  -171.191     -176.558     -177.506     -174.105     -173.806     -174.509     -177.049   
  -177.944     -178.556     -173.193     -174.880     -178.017     -175.415     -175.713   
  -179.942     -175.090     -179.485     -176.371     -177.022     -179.221     -177.025   
  -176.700     -180.689     -180.753     -177.863     -179.433     -178.631     -180.271   
  -182.298     -181.957     -178.191     -179.355     -182.679     -181.042     -179.681   
  -183.567     -179.395     -183.737     -180.846     -182.089     -184.288     -182.092   
  -180.782     -185.634     -185.282     -182.338     -183.401     -183.293     -185.898   
  -187.243     -186.486     -182.273     -183.830     -187.636     -185.011     -184.343   
  -187.872     -184.171     -188.435     -185.321     -185.652     -188.840     -186.620   
  -185.780     -189.639     -189.363     -186.813     -189.028     -187.262     -189.890   
  -191.248     -190.567     -187.272     -188.305     -192.111     -190.638     -188.312   
  -191.954     -188.321     -193.197     -189.796     -189.333     -193.721     -191.841   
  -189.931     -194.401     -193.445     -191.288     -194.249     -190.943     -194.770   
  -196.011     -194.649     -191.423     -192.780     -196.586     -195.859     -191.992   
  -196.036     -192.472     -197.672     -194.271     -193.014     -198.196     -197.063   
  -193.859     -199.569     -197.750     -195.763     -198.372     -194.218     -199.805   
  -200.956     -198.800     -195.861     -197.254     -199.675     -199.982     -195.422   
  -200.187     -196.911     -202.147     -198.746     -196.444     -201.284     -201.186   
  -198.297     -204.044     -201.901     -200.238     -202.495     -197.648     -202.894   
  -205.248     -203.511     -199.319     -201.729     -204.609     -203.699     -199.545   
  -204.897     -200.369     -206.622     -203.221     -200.566     -206.218     -204.903   
  -201.978     -207.826     -206.389     -204.713     -207.311     -202.176     -207.268   
  -209.436     -207.593     -203.470     -205.667     -209.676     -208.920     -203.226   
  -208.979     -205.367     -210.272     -206.915     -204.535     -210.880     -210.530   
  -206.571     -211.882     -210.001     -208.406     -211.520     -205.739     -212.777   
  -213.268     -211.898     -208.286     -209.898     -212.606     -212.724     -207.348   
  -213.284     -209.336     -214.791     -211.037     -208.370     -214.215     -213.928   
  -210.722     -216.688     -214.999     -212.529     -215.237     -209.574     -215.825   
  -217.892     -216.608     -211.743     -214.021     -217.134     -216.441     -211.471   
  -217.995     -212.793     -218.913     -215.160     -212.493     -218.744     -217.645   
  -214.403     -220.117     -219.486     -216.652     -220.053     -214.102     -219.793   
  -221.727     -220.690     -215.894     -218.092     -221.950     -221.662     -215.152   
  -221.894     -217.504     -222.004     -218.841     -216.867     -223.154     -223.559   
  -218.708     -223.613     -222.753     -220.333     -223.446     -218.071     -225.051   
  -225.223     -223.957     -220.199     -221.824     -225.631     -225.056     -219.121   
  -225.343     -222.097     -226.429     -222.810     -220.430     -226.835     -226.665   
  -223.301     -228.039     -226.365     -224.301     -227.415     -221.634     -228.732   
  -229.425     -228.262     -225.015     -225.793     -228.501     -228.619     -223.243   
  -229.648     -226.912     -230.398     -226.932     -224.553     -229.705     -230.228   
  -228.116     -232.007     -230.670     -228.424     -231.537     -225.757     -231.602   
  -233.617     -231.874     -229.608     -229.916     -233.722     -233.147     -226.807   
  -233.260     -231.505     -234.521     -230.495     -228.116     -234.926     -234.756   
  -232.892     -235.571     -235.263     -231.987     -234.407     -229.725     -236.130   
  -236.957     -236.313     -234.894     -233.479     -235.899     -236.017     -230.929   
  -237.517     -236.503     -237.391     -234.618     -232.644     -237.103     -237.914   
  -237.890     -238.441     -239.511     -236.110     -238.530     -234.254     -238.307   
  -240.050     -240.715     -239.381     -237.602     -240.715     -240.140     -235.303   
  -242.101     -240.431     -242.053     -238.992     -236.325     -242.324     -241.344   
  -241.817     -243.950     -243.597     -240.484     -242.653     -237.529     -243.934   
  -245.559     -244.801     -243.309     -241.976     -245.782     -244.262     -238.579   
  -246.188     -244.359     -246.868     -242.268     -239.600     -247.392     -245.466   
  -245.563     -248.478     -246.180     -243.759     -246.873     -240.804     -249.289   
  -249.864     -247.230     -247.565     -245.251     -247.671     -248.482     -242.008   
  -248.616     -248.615     -250.144     -245.697     -243.030     -249.281     -249.686   
  -249.819     -251.753     -249.609     -247.189     -250.302     -244.234     -251.178   
  -253.363     -250.813     -251.311     -248.681     -252.487     -251.912     -245.284   
  -252.200     -252.361     -253.573     -248.973     -246.306     -254.097     -253.116   
  -253.970     -254.777     -253.355     -250.464     -254.271     -247.915     -255.147   
  -256.387     -254.559     -254.846     -251.956     -255.763     -255.880     -248.965   
  -255.945     -256.744     -256.561     -252.654     -250.274     -256.967     -257.490   
  -257.948     -258.171     -256.566     -254.145     -257.259     -251.478     -258.864   
  -259.375     -258.175     -258.057     -255.637     -258.750     -258.463     -253.375   
  -259.561     -259.107     -260.530     -257.064     -254.397     -260.360     -259.667   
  -260.311     -262.139     -260.583     -258.556     -261.382     -255.601     -262.257   
  -263.749     -261.787     -261.803     -260.047     -263.854     -262.991     -256.651   
  -263.173     -263.700     -264.653     -260.340     -257.960     -265.058     -264.600   
  -265.086     -265.702     -265.176     -261.831     -264.252     -259.569     -266.262   
  -267.089     -266.226     -266.724     -263.323     -265.743     -265.861     -260.773   
  -267.430     -268.333     -267.235     -264.462     -262.488     -266.947     -267.758   
  -269.720     -268.285     -269.355     -265.954     -268.374     -264.098     -268.151   
  -269.671     -270.405     -270.847     -267.446     -269.173     -269.984     -265.302   
  -271.609     -272.456     -270.693     -268.937     -267.016     -270.377     -271.881   
  -273.660     -272.302     -272.631     -270.429     -273.542     -268.220     -272.274   
  -273.688     -273.680     -275.322     -271.921     -273.296     -275.152     -269.424   
  -275.067     -277.219     -275.403     -273.113     -270.734     -274.500     -276.761   
  -278.423     -277.013     -276.088     -274.605     -277.718     -271.938     -276.397   
  -278.399     -277.985     -279.210     -276.097     -277.706     -278.922     -273.547   
  -279.372     -281.107     -280.114     -277.236     -274.856     -278.910     -280.532   
  -282.717     -281.318     -280.863     -278.728     -282.534     -276.466     -279.960   
  -282.927     -282.067     -283.110     -280.219     -282.368     -284.144     -277.516   
  -283.454     -285.007     -284.642     -281.205     -278.825     -283.572     -285.753   
  -286.393     -285.692     -285.456     -282.696     -285.117     -280.434     -284.776   
  -287.078     -286.506     -287.589     -284.188     -285.797     -286.726     -281.638   
  -287.892     -289.486     -288.793     -285.327     -282.948     -287.001     -288.335   
  -290.872     -289.843     -289.895     -286.819     -289.239     -284.557     -288.205   
  -291.229     -290.945     -291.712     -288.311     -289.227     -290.849     -285.761   
  -292.331     -293.609     -292.916     -289.450     -287.071     -290.431     -292.458   
  -295.218     -294.120     -293.823     -290.942     -294.748     -288.680     -291.481   
  -295.506     -294.872     -295.835     -292.433     -292.502     -296.358     -289.884   
  -296.259     -296.884     -297.326     -293.573     -290.906     -294.112     -297.562   
  -298.088     -298.936     -297.280     -295.064     -298.178     -292.110     -296.009   
  -300.545     -298.484     -299.446     -296.556     -298.417     -299.787     -293.159   
  -300.094     -300.650     -300.938     -296.848     -295.567     -300.026     -300.837   
  -301.854     -302.548     -300.760     -298.340     -301.453     -296.771     -301.923   
  -304.157     -301.964     -302.722     -299.832     -303.638     -303.063     -297.821   
  -303.168     -304.331     -303.744     -301.323     -299.536     -304.842     -304.960   
  -305.535     -305.353     -304.190     -302.815     -305.928     -300.740     -306.739   
  -306.739     -305.240     -307.538     -304.307     -306.727     -307.538     -301.944   
  -306.849     -308.742     -308.231     -305.633     -304.352     -308.336     -308.588   
  -309.946     -309.840     -307.871     -307.124     -310.238     -305.556     -310.233   
  -311.227     -308.921     -311.948     -308.616     -311.036     -311.847     -306.760   
